,Location,2019 Population,Town or City,2019 Rental Rates,State,City,Violent crime,Murder and nonnegligent manslaughter,Rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson,Crime Population,Crime Rate,Urban Population by City Size Categories,Urban Population by City Size Ranges,Rental Rate Categories,Rental Rate Ranges,Crime Rate Categories,Crime Rate Ranges,Walk Score,Bike Score,Walk Score Categories,Walk Score Ranges,Bike Score Categories,Bike Score Ranges,Cost of Living Index,Cost of Living Index Categories,Cost of Living Index Ranges
11,"Phoenix, Arizona",1680992,city,1237,Arizona,Phoenix,11803,131,1139,3197,7336,55974,9471,39427,7076,201,1688722,8075.886143420076,Large Metropolitan Area,"1,500,000 <",Low Rent,"$581.99-1,294.50",Average Crime,"7,951.131-9,683.737",41,56,Higher Walk Score,38.0-48.0,Highest Bike Scores,52.0-96.0,105.8,Highest Cost of Living Index,103.74-183.0
12,"Phoenix, Arizona",1680992,city,1163,Arizona,Phoenix,11803,131,1139,3197,7336,55974,9471,39427,7076,201,1688722,8075.886143420076,Large Metropolitan Area,"1,500,000 <",Low Rent,"$581.99-1,294.50",Average Crime,"7,951.131-9,683.737",41,56,Higher Walk Score,38.0-48.0,Highest Bike Scores,52.0-96.0,105.8,Highest Cost of Living Index,103.74-183.0
13,"Phoenix, Arizona",1680992,city,1944,Arizona,Phoenix,11803,131,1139,3197,7336,55974,9471,39427,7076,201,1688722,8075.886143420076,Large Metropolitan Area,"1,500,000 <",Highest Rent,"$1891.50-6,373",Average Crime,"7,951.131-9,683.737",41,56,Higher Walk Score,38.0-48.0,Highest Bike Scores,52.0-96.0,105.8,Highest Cost of Living Index,103.74-183.0
14,"Phoenix, Arizona",1680992,city,1122,Arizona,Phoenix,11803,131,1139,3197,7336,55974,9471,39427,7076,201,1688722,8075.886143420076,Large Metropolitan Area,"1,500,000 <",Low Rent,"$581.99-1,294.50",Average Crime,"7,951.131-9,683.737",41,56,Higher Walk Score,38.0-48.0,Highest Bike Scores,52.0-96.0,105.8,Highest Cost of Living Index,103.74-183.0
15,"Phoenix, Arizona",1680992,city,1389,Arizona,Phoenix,11803,131,1139,3197,7336,55974,9471,39427,7076,201,1688722,8075.886143420076,Large Metropolitan Area,"1,500,000 <",Average Rent,"$1,294.50-1,549",Average Crime,"7,951.131-9,683.737",41,56,Higher Walk Score,38.0-48.0,Highest Bike Scores,52.0-96.0,105.8,Highest Cost of Living Index,103.74-183.0
16,"Phoenix, Arizona",1680992,city,1223,Arizona,Phoenix,11803,131,1139,3197,7336,55974,9471,39427,7076,201,1688722,8075.886143420076,Large Metropolitan Area,"1,500,000 <",Low Rent,"$581.99-1,294.50",Average Crime,"7,951.131-9,683.737",41,56,Higher Walk Score,38.0-48.0,Highest Bike Scores,52.0-96.0,105.8,Highest Cost of Living Index,103.74-183.0
17,"Phoenix, Arizona",1680992,city,1533,Arizona,Phoenix,11803,131,1139,3197,7336,55974,9471,39427,7076,201,1688722,8075.886143420076,Large Metropolitan Area,"1,500,000 <",Average Rent,"$1,294.50-1,549",Average Crime,"7,951.131-9,683.737",41,56,Higher Walk Score,38.0-48.0,Highest Bike Scores,52.0-96.0,105.8,Highest Cost of Living Index,103.74-183.0
18,"Phoenix, Arizona",1680992,city,1376,Arizona,Phoenix,11803,131,1139,3197,7336,55974,9471,39427,7076,201,1688722,8075.886143420076,Large Metropolitan Area,"1,500,000 <",Average Rent,"$1,294.50-1,549",Average Crime,"7,951.131-9,683.737",41,56,Higher Walk Score,38.0-48.0,Highest Bike Scores,52.0-96.0,105.8,Highest Cost of Living Index,103.74-183.0
19,"Phoenix, Arizona",1680992,city,1415,Arizona,Phoenix,11803,131,1139,3197,7336,55974,9471,39427,7076,201,1688722,8075.886143420076,Large Metropolitan Area,"1,500,000 <",Average Rent,"$1,294.50-1,549",Average Crime,"7,951.131-9,683.737",41,56,Higher Walk Score,38.0-48.0,Highest Bike Scores,52.0-96.0,105.8,Highest Cost of Living Index,103.74-183.0
20,"Phoenix, Arizona",1680992,city,1692,Arizona,Phoenix,11803,131,1139,3197,7336,55974,9471,39427,7076,201,1688722,8075.886143420076,Large Metropolitan Area,"1,500,000 <",Higher Rent,"$1,549-1,891.50",Average Crime,"7,951.131-9,683.737",41,56,Higher Walk Score,38.0-48.0,Highest Bike Scores,52.0-96.0,105.8,Highest Cost of Living Index,103.74-183.0
21,"Phoenix, Arizona",1680992,city,1757,Arizona,Phoenix,11803,131,1139,3197,7336,55974,9471,39427,7076,201,1688722,8075.886143420076,Large Metropolitan Area,"1,500,000 <",Higher Rent,"$1,549-1,891.50",Average Crime,"7,951.131-9,683.737",41,56,Higher Walk Score,38.0-48.0,Highest Bike Scores,52.0-96.0,105.8,Highest Cost of Living Index,103.74-183.0
22,"Phoenix, Arizona",1680992,city,1628,Arizona,Phoenix,11803,131,1139,3197,7336,55974,9471,39427,7076,201,1688722,8075.886143420076,Large Metropolitan Area,"1,500,000 <",Higher Rent,"$1,549-1,891.50",Average Crime,"7,951.131-9,683.737",41,56,Higher Walk Score,38.0-48.0,Highest Bike Scores,52.0-96.0,105.8,Highest Cost of Living Index,103.74-183.0
23,"Phoenix, Arizona",1680992,city,1159,Arizona,Phoenix,11803,131,1139,3197,7336,55974,9471,39427,7076,201,1688722,8075.886143420076,Large Metropolitan Area,"1,500,000 <",Low Rent,"$581.99-1,294.50",Average Crime,"7,951.131-9,683.737",41,56,Higher Walk Score,38.0-48.0,Highest Bike Scores,52.0-96.0,105.8,Highest Cost of Living Index,103.74-183.0
24,"Phoenix, Arizona",1680992,city,1515,Arizona,Phoenix,11803,131,1139,3197,7336,55974,9471,39427,7076,201,1688722,8075.886143420076,Large Metropolitan Area,"1,500,000 <",Average Rent,"$1,294.50-1,549",Average Crime,"7,951.131-9,683.737",41,56,Higher Walk Score,38.0-48.0,Highest Bike Scores,52.0-96.0,105.8,Highest Cost of Living Index,103.74-183.0
25,"Phoenix, Arizona",1680992,city,1408,Arizona,Phoenix,11803,131,1139,3197,7336,55974,9471,39427,7076,201,1688722,8075.886143420076,Large Metropolitan Area,"1,500,000 <",Average Rent,"$1,294.50-1,549",Average Crime,"7,951.131-9,683.737",41,56,Higher Walk Score,38.0-48.0,Highest Bike Scores,52.0-96.0,105.8,Highest Cost of Living Index,103.74-183.0
26,"Phoenix, Arizona",1680992,city,1508,Arizona,Phoenix,11803,131,1139,3197,7336,55974,9471,39427,7076,201,1688722,8075.886143420076,Large Metropolitan Area,"1,500,000 <",Average Rent,"$1,294.50-1,549",Average Crime,"7,951.131-9,683.737",41,56,Higher Walk Score,38.0-48.0,Highest Bike Scores,52.0-96.0,105.8,Highest Cost of Living Index,103.74-183.0
27,"Phoenix, Arizona",1680992,city,1278,Arizona,Phoenix,11803,131,1139,3197,7336,55974,9471,39427,7076,201,1688722,8075.886143420076,Large Metropolitan Area,"1,500,000 <",Low Rent,"$581.99-1,294.50",Average Crime,"7,951.131-9,683.737",41,56,Higher Walk Score,38.0-48.0,Highest Bike Scores,52.0-96.0,105.8,Highest Cost of Living Index,103.74-183.0
28,"Phoenix, Arizona",1680992,city,1549,Arizona,Phoenix,11803,131,1139,3197,7336,55974,9471,39427,7076,201,1688722,8075.886143420076,Large Metropolitan Area,"1,500,000 <",Average Rent,"$1,294.50-1,549",Average Crime,"7,951.131-9,683.737",41,56,Higher Walk Score,38.0-48.0,Highest Bike Scores,52.0-96.0,105.8,Highest Cost of Living Index,103.74-183.0
29,"Phoenix, Arizona",1680992,city,1513,Arizona,Phoenix,11803,131,1139,3197,7336,55974,9471,39427,7076,201,1688722,8075.886143420076,Large Metropolitan Area,"1,500,000 <",Average Rent,"$1,294.50-1,549",Average Crime,"7,951.131-9,683.737",41,56,Higher Walk Score,38.0-48.0,Highest Bike Scores,52.0-96.0,105.8,Highest Cost of Living Index,103.74-183.0
30,"Phoenix, Arizona",1680992,city,1387,Arizona,Phoenix,11803,131,1139,3197,7336,55974,9471,39427,7076,201,1688722,8075.886143420076,Large Metropolitan Area,"1,500,000 <",Average Rent,"$1,294.50-1,549",Average Crime,"7,951.131-9,683.737",41,56,Higher Walk Score,38.0-48.0,Highest Bike Scores,52.0-96.0,105.8,Highest Cost of Living Index,103.74-183.0
31,"Phoenix, Arizona",1680992,city,1545,Arizona,Phoenix,11803,131,1139,3197,7336,55974,9471,39427,7076,201,1688722,8075.886143420076,Large Metropolitan Area,"1,500,000 <",Average Rent,"$1,294.50-1,549",Average Crime,"7,951.131-9,683.737",41,56,Higher Walk Score,38.0-48.0,Highest Bike Scores,52.0-96.0,105.8,Highest Cost of Living Index,103.74-183.0
32,"Phoenix, Arizona",1680992,city,1356,Arizona,Phoenix,11803,131,1139,3197,7336,55974,9471,39427,7076,201,1688722,8075.886143420076,Large Metropolitan Area,"1,500,000 <",Average Rent,"$1,294.50-1,549",Average Crime,"7,951.131-9,683.737",41,56,Higher Walk Score,38.0-48.0,Highest Bike Scores,52.0-96.0,105.8,Highest Cost of Living Index,103.74-183.0
33,"Phoenix, Arizona",1680992,city,1274,Arizona,Phoenix,11803,131,1139,3197,7336,55974,9471,39427,7076,201,1688722,8075.886143420076,Large Metropolitan Area,"1,500,000 <",Low Rent,"$581.99-1,294.50",Average Crime,"7,951.131-9,683.737",41,56,Higher Walk Score,38.0-48.0,Highest Bike Scores,52.0-96.0,105.8,Highest Cost of Living Index,103.74-183.0
34,"Phoenix, Arizona",1680992,city,1499,Arizona,Phoenix,11803,131,1139,3197,7336,55974,9471,39427,7076,201,1688722,8075.886143420076,Large Metropolitan Area,"1,500,000 <",Average Rent,"$1,294.50-1,549",Average Crime,"7,951.131-9,683.737",41,56,Higher Walk Score,38.0-48.0,Highest Bike Scores,52.0-96.0,105.8,Highest Cost of Living Index,103.74-183.0
35,"Phoenix, Arizona",1680992,city,1396,Arizona,Phoenix,11803,131,1139,3197,7336,55974,9471,39427,7076,201,1688722,8075.886143420076,Large Metropolitan Area,"1,500,000 <",Average Rent,"$1,294.50-1,549",Average Crime,"7,951.131-9,683.737",41,56,Higher Walk Score,38.0-48.0,Highest Bike Scores,52.0-96.0,105.8,Highest Cost of Living Index,103.74-183.0
36,"Phoenix, Arizona",1680992,city,1616,Arizona,Phoenix,11803,131,1139,3197,7336,55974,9471,39427,7076,201,1688722,8075.886143420076,Large Metropolitan Area,"1,500,000 <",Higher Rent,"$1,549-1,891.50",Average Crime,"7,951.131-9,683.737",41,56,Higher Walk Score,38.0-48.0,Highest Bike Scores,52.0-96.0,105.8,Highest Cost of Living Index,103.74-183.0
37,"Phoenix, Arizona",1680992,city,1225,Arizona,Phoenix,11803,131,1139,3197,7336,55974,9471,39427,7076,201,1688722,8075.886143420076,Large Metropolitan Area,"1,500,000 <",Low Rent,"$581.99-1,294.50",Average Crime,"7,951.131-9,683.737",41,56,Higher Walk Score,38.0-48.0,Highest Bike Scores,52.0-96.0,105.8,Highest Cost of Living Index,103.74-183.0
38,"Phoenix, Arizona",1680992,city,1594,Arizona,Phoenix,11803,131,1139,3197,7336,55974,9471,39427,7076,201,1688722,8075.886143420076,Large Metropolitan Area,"1,500,000 <",Higher Rent,"$1,549-1,891.50",Average Crime,"7,951.131-9,683.737",41,56,Higher Walk Score,38.0-48.0,Highest Bike Scores,52.0-96.0,105.8,Highest Cost of Living Index,103.74-183.0
39,"Phoenix, Arizona",1680992,city,1519,Arizona,Phoenix,11803,131,1139,3197,7336,55974,9471,39427,7076,201,1688722,8075.886143420076,Large Metropolitan Area,"1,500,000 <",Average Rent,"$1,294.50-1,549",Average Crime,"7,951.131-9,683.737",41,56,Higher Walk Score,38.0-48.0,Highest Bike Scores,52.0-96.0,105.8,Highest Cost of Living Index,103.74-183.0
40,"Phoenix, Arizona",1680992,city,1100,Arizona,Phoenix,11803,131,1139,3197,7336,55974,9471,39427,7076,201,1688722,8075.886143420076,Large Metropolitan Area,"1,500,000 <",Low Rent,"$581.99-1,294.50",Average Crime,"7,951.131-9,683.737",41,56,Higher Walk Score,38.0-48.0,Highest Bike Scores,52.0-96.0,105.8,Highest Cost of Living Index,103.74-183.0
41,"Phoenix, Arizona",1680992,city,1109,Arizona,Phoenix,11803,131,1139,3197,7336,55974,9471,39427,7076,201,1688722,8075.886143420076,Large Metropolitan Area,"1,500,000 <",Low Rent,"$581.99-1,294.50",Average Crime,"7,951.131-9,683.737",41,56,Higher Walk Score,38.0-48.0,Highest Bike Scores,52.0-96.0,105.8,Highest Cost of Living Index,103.74-183.0
42,"Phoenix, Arizona",1680992,city,1715,Arizona,Phoenix,11803,131,1139,3197,7336,55974,9471,39427,7076,201,1688722,8075.886143420076,Large Metropolitan Area,"1,500,000 <",Higher Rent,"$1,549-1,891.50",Average Crime,"7,951.131-9,683.737",41,56,Higher Walk Score,38.0-48.0,Highest Bike Scores,52.0-96.0,105.8,Highest Cost of Living Index,103.74-183.0
43,"Phoenix, Arizona",1680992,city,1923,Arizona,Phoenix,11803,131,1139,3197,7336,55974,9471,39427,7076,201,1688722,8075.886143420076,Large Metropolitan Area,"1,500,000 <",Highest Rent,"$1891.50-6,373",Average Crime,"7,951.131-9,683.737",41,56,Higher Walk Score,38.0-48.0,Highest Bike Scores,52.0-96.0,105.8,Highest Cost of Living Index,103.74-183.0
44,"Phoenix, Arizona",1680992,city,1655,Arizona,Phoenix,11803,131,1139,3197,7336,55974,9471,39427,7076,201,1688722,8075.886143420076,Large Metropolitan Area,"1,500,000 <",Higher Rent,"$1,549-1,891.50",Average Crime,"7,951.131-9,683.737",41,56,Higher Walk Score,38.0-48.0,Highest Bike Scores,52.0-96.0,105.8,Highest Cost of Living Index,103.74-183.0
45,"Phoenix, Arizona",1680992,city,1279,Arizona,Phoenix,11803,131,1139,3197,7336,55974,9471,39427,7076,201,1688722,8075.886143420076,Large Metropolitan Area,"1,500,000 <",Low Rent,"$581.99-1,294.50",Average Crime,"7,951.131-9,683.737",41,56,Higher Walk Score,38.0-48.0,Highest Bike Scores,52.0-96.0,105.8,Highest Cost of Living Index,103.74-183.0
46,"Phoenix, Arizona",1680992,city,1392,Arizona,Phoenix,11803,131,1139,3197,7336,55974,9471,39427,7076,201,1688722,8075.886143420076,Large Metropolitan Area,"1,500,000 <",Average Rent,"$1,294.50-1,549",Average Crime,"7,951.131-9,683.737",41,56,Higher Walk Score,38.0-48.0,Highest Bike Scores,52.0-96.0,105.8,Highest Cost of Living Index,103.74-183.0
47,"Phoenix, Arizona",1680992,city,1129,Arizona,Phoenix,11803,131,1139,3197,7336,55974,9471,39427,7076,201,1688722,8075.886143420076,Large Metropolitan Area,"1,500,000 <",Low Rent,"$581.99-1,294.50",Average Crime,"7,951.131-9,683.737",41,56,Higher Walk Score,38.0-48.0,Highest Bike Scores,52.0-96.0,105.8,Highest Cost of Living Index,103.74-183.0
48,"Phoenix, Arizona",1680992,city,1201,Arizona,Phoenix,11803,131,1139,3197,7336,55974,9471,39427,7076,201,1688722,8075.886143420076,Large Metropolitan Area,"1,500,000 <",Low Rent,"$581.99-1,294.50",Average Crime,"7,951.131-9,683.737",41,56,Higher Walk Score,38.0-48.0,Highest Bike Scores,52.0-96.0,105.8,Highest Cost of Living Index,103.74-183.0
49,"Phoenix, Arizona",1680992,city,1579,Arizona,Phoenix,11803,131,1139,3197,7336,55974,9471,39427,7076,201,1688722,8075.886143420076,Large Metropolitan Area,"1,500,000 <",Higher Rent,"$1,549-1,891.50",Average Crime,"7,951.131-9,683.737",41,56,Higher Walk Score,38.0-48.0,Highest Bike Scores,52.0-96.0,105.8,Highest Cost of Living Index,103.74-183.0
50,"Phoenix, Arizona",1680992,city,1026,Arizona,Phoenix,11803,131,1139,3197,7336,55974,9471,39427,7076,201,1688722,8075.886143420076,Large Metropolitan Area,"1,500,000 <",Low Rent,"$581.99-1,294.50",Average Crime,"7,951.131-9,683.737",41,56,Higher Walk Score,38.0-48.0,Highest Bike Scores,52.0-96.0,105.8,Highest Cost of Living Index,103.74-183.0
51,"Phoenix, Arizona",1680992,city,1321,Arizona,Phoenix,11803,131,1139,3197,7336,55974,9471,39427,7076,201,1688722,8075.886143420076,Large Metropolitan Area,"1,500,000 <",Average Rent,"$1,294.50-1,549",Average Crime,"7,951.131-9,683.737",41,56,Higher Walk Score,38.0-48.0,Highest Bike Scores,52.0-96.0,105.8,Highest Cost of Living Index,103.74-183.0
52,"Phoenix, Arizona",1680992,city,1035,Arizona,Phoenix,11803,131,1139,3197,7336,55974,9471,39427,7076,201,1688722,8075.886143420076,Large Metropolitan Area,"1,500,000 <",Low Rent,"$581.99-1,294.50",Average Crime,"7,951.131-9,683.737",41,56,Higher Walk Score,38.0-48.0,Highest Bike Scores,52.0-96.0,105.8,Highest Cost of Living Index,103.74-183.0
53,"Phoenix, Arizona",1680992,city,1330,Arizona,Phoenix,11803,131,1139,3197,7336,55974,9471,39427,7076,201,1688722,8075.886143420076,Large Metropolitan Area,"1,500,000 <",Average Rent,"$1,294.50-1,549",Average Crime,"7,951.131-9,683.737",41,56,Higher Walk Score,38.0-48.0,Highest Bike Scores,52.0-96.0,105.8,Highest Cost of Living Index,103.74-183.0
54,"Phoenix, Arizona",1680992,city,862,Arizona,Phoenix,11803,131,1139,3197,7336,55974,9471,39427,7076,201,1688722,8075.886143420076,Large Metropolitan Area,"1,500,000 <",Low Rent,"$581.99-1,294.50",Average Crime,"7,951.131-9,683.737",41,56,Higher Walk Score,38.0-48.0,Highest Bike Scores,52.0-96.0,105.8,Highest Cost of Living Index,103.74-183.0
55,"Phoenix, Arizona",1680992,city,1529,Arizona,Phoenix,11803,131,1139,3197,7336,55974,9471,39427,7076,201,1688722,8075.886143420076,Large Metropolitan Area,"1,500,000 <",Average Rent,"$1,294.50-1,549",Average Crime,"7,951.131-9,683.737",41,56,Higher Walk Score,38.0-48.0,Highest Bike Scores,52.0-96.0,105.8,Highest Cost of Living Index,103.74-183.0
56,"Phoenix, Arizona",1680992,city,1484,Arizona,Phoenix,11803,131,1139,3197,7336,55974,9471,39427,7076,201,1688722,8075.886143420076,Large Metropolitan Area,"1,500,000 <",Average Rent,"$1,294.50-1,549",Average Crime,"7,951.131-9,683.737",41,56,Higher Walk Score,38.0-48.0,Highest Bike Scores,52.0-96.0,105.8,Highest Cost of Living Index,103.74-183.0
57,"Phoenix, Arizona",1680992,city,1512,Arizona,Phoenix,11803,131,1139,3197,7336,55974,9471,39427,7076,201,1688722,8075.886143420076,Large Metropolitan Area,"1,500,000 <",Average Rent,"$1,294.50-1,549",Average Crime,"7,951.131-9,683.737",41,56,Higher Walk Score,38.0-48.0,Highest Bike Scores,52.0-96.0,105.8,Highest Cost of Living Index,103.74-183.0
58,"Phoenix, Arizona",1680992,city,1229,Arizona,Phoenix,11803,131,1139,3197,7336,55974,9471,39427,7076,201,1688722,8075.886143420076,Large Metropolitan Area,"1,500,000 <",Low Rent,"$581.99-1,294.50",Average Crime,"7,951.131-9,683.737",41,56,Higher Walk Score,38.0-48.0,Highest Bike Scores,52.0-96.0,105.8,Highest Cost of Living Index,103.74-183.0
59,"Phoenix, Arizona",1680992,city,1354,Arizona,Phoenix,11803,131,1139,3197,7336,55974,9471,39427,7076,201,1688722,8075.886143420076,Large Metropolitan Area,"1,500,000 <",Average Rent,"$1,294.50-1,549",Average Crime,"7,951.131-9,683.737",41,56,Higher Walk Score,38.0-48.0,Highest Bike Scores,52.0-96.0,105.8,Highest Cost of Living Index,103.74-183.0
60,"Phoenix, Arizona",1680992,city,1591,Arizona,Phoenix,11803,131,1139,3197,7336,55974,9471,39427,7076,201,1688722,8075.886143420076,Large Metropolitan Area,"1,500,000 <",Higher Rent,"$1,549-1,891.50",Average Crime,"7,951.131-9,683.737",41,56,Higher Walk Score,38.0-48.0,Highest Bike Scores,52.0-96.0,105.8,Highest Cost of Living Index,103.74-183.0
61,"Phoenix, Arizona",1680992,city,1230,Arizona,Phoenix,11803,131,1139,3197,7336,55974,9471,39427,7076,201,1688722,8075.886143420076,Large Metropolitan Area,"1,500,000 <",Low Rent,"$581.99-1,294.50",Average Crime,"7,951.131-9,683.737",41,56,Higher Walk Score,38.0-48.0,Highest Bike Scores,52.0-96.0,105.8,Highest Cost of Living Index,103.74-183.0
62,"Phoenix, Arizona",1680992,city,1584,Arizona,Phoenix,11803,131,1139,3197,7336,55974,9471,39427,7076,201,1688722,8075.886143420076,Large Metropolitan Area,"1,500,000 <",Higher Rent,"$1,549-1,891.50",Average Crime,"7,951.131-9,683.737",41,56,Higher Walk Score,38.0-48.0,Highest Bike Scores,52.0-96.0,105.8,Highest Cost of Living Index,103.74-183.0
63,"Phoenix, Arizona",1680992,city,1756,Arizona,Phoenix,11803,131,1139,3197,7336,55974,9471,39427,7076,201,1688722,8075.886143420076,Large Metropolitan Area,"1,500,000 <",Higher Rent,"$1,549-1,891.50",Average Crime,"7,951.131-9,683.737",41,56,Higher Walk Score,38.0-48.0,Highest Bike Scores,52.0-96.0,105.8,Highest Cost of Living Index,103.74-183.0
64,"Phoenix, Arizona",1680992,city,1847,Arizona,Phoenix,11803,131,1139,3197,7336,55974,9471,39427,7076,201,1688722,8075.886143420076,Large Metropolitan Area,"1,500,000 <",Higher Rent,"$1,549-1,891.50",Average Crime,"7,951.131-9,683.737",41,56,Higher Walk Score,38.0-48.0,Highest Bike Scores,52.0-96.0,105.8,Highest Cost of Living Index,103.74-183.0
65,"Phoenix, Arizona",1680992,city,1448,Arizona,Phoenix,11803,131,1139,3197,7336,55974,9471,39427,7076,201,1688722,8075.886143420076,Large Metropolitan Area,"1,500,000 <",Average Rent,"$1,294.50-1,549",Average Crime,"7,951.131-9,683.737",41,56,Higher Walk Score,38.0-48.0,Highest Bike Scores,52.0-96.0,105.8,Highest Cost of Living Index,103.74-183.0
66,"Phoenix, Arizona",1680992,city,1506,Arizona,Phoenix,11803,131,1139,3197,7336,55974,9471,39427,7076,201,1688722,8075.886143420076,Large Metropolitan Area,"1,500,000 <",Average Rent,"$1,294.50-1,549",Average Crime,"7,951.131-9,683.737",41,56,Higher Walk Score,38.0-48.0,Highest Bike Scores,52.0-96.0,105.8,Highest Cost of Living Index,103.74-183.0
67,"Phoenix, Arizona",1680992,city,1436,Arizona,Phoenix,11803,131,1139,3197,7336,55974,9471,39427,7076,201,1688722,8075.886143420076,Large Metropolitan Area,"1,500,000 <",Average Rent,"$1,294.50-1,549",Average Crime,"7,951.131-9,683.737",41,56,Higher Walk Score,38.0-48.0,Highest Bike Scores,52.0-96.0,105.8,Highest Cost of Living Index,103.74-183.0
68,"Phoenix, Arizona",1680992,city,1198,Arizona,Phoenix,11803,131,1139,3197,7336,55974,9471,39427,7076,201,1688722,8075.886143420076,Large Metropolitan Area,"1,500,000 <",Low Rent,"$581.99-1,294.50",Average Crime,"7,951.131-9,683.737",41,56,Higher Walk Score,38.0-48.0,Highest Bike Scores,52.0-96.0,105.8,Highest Cost of Living Index,103.74-183.0
